Analyte,Formula,Analysis,FC,A+0,A+1,A+2,A+3,A+4,A+5,A+6
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-36,0.886074349,959.9566732,0,0,2969.068029,1405.438129,15983.57655,
Lactic acid,C3H6O3,media-hilic-13,0.106888056,1.60E+07,27509.40255,43043.25253,1884566.14,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-33,0,0,0,0,0,0,0,
Lactic acid,C3H6O3,media-hilic-01,0.01690098,1.49E+07,34984.80769,44819.77136,216088.367,,,
Alanine,C3H7NO2,media-hilic-07,0.01990986,387895.946,0,0,7879.840644,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-31,0.016778607,1208791.375,0,0,486.4848002,12.11455234,0,20380.84463
Lactic acid C3,^13C3H6O3,media-hilic-31,0.104499682,1.58E+07,0,0,1846283.399,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-30,0.994876022,2457.643662,4464.665511,0,1053598.795,,,
L-Glutamine,C5H10N2O3,media-hilic-35,0.015179007,1.84E+07,1253422.268,120090.1305,1856.342112,120.4077062,140.6108965,
Alanine,C3H7NO2,media-hilic-QC05,0.020513542,565885.4231,0,0,11851.42938,,,
L-Glutamine,C5H10N2O3,media-hilic-20,0.016086962,2.02E+07,1454582.495,144693.5896,2091.019192,72.95767214,234.1537094,
Lactic acid C3,^13C3H6O3,media-hilic-QC01,0.111432544,1.51E+07,0,0,1898230.104,,,
L-Glutamine,C5H10N2O3,media-hilic-36,0.013563611,1.96E+07,1159569.214,126134.4762,2103.873258,89.89892528,202.6842759,
Lactic acid,C3H6O3,media-hilic-22,0.021422326,1.47E+07,17607.97497,0,317282.3746,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-QC09,0.866680817,1338.539281,0,0,1347.16052,28007.40256,25404.4812,
L-Glutamic acid,C5H9NO4,media-hilic-06,0.733245541,4141612.19,0,12883.41117,0,0,1.14E+07,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-29,0.016458568,1546349.267,0,0,928.0017446,0,0,25420.3503
Glucose d7 CL,C6H6D7O6Cl,media-hilic-18,0.012840111,960087.1471,0,0,915.1614104,60.14002818,614.9483386,11485.38683
L-Glutamic acid,C5H9NO4,media-hilic-04,0.736369951,3975559.574,0,12446.73431,0,0,1.11E+07,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-25,0.014388077,1278546.973,0,0,1174.198174,115.9259496,914.5630786,17249.21742
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-01,0,0,0,0,0,0,0,
L-Glutamic acid,C5H9NO4,media-hilic-QC01,0.717708811,5102969.446,0,17472.0776,0,0,1.30E+07,
Alanine 15N,C3H7^15NO2,media-hilic-11,0,0,0,0,0,,,
Lactic acid C3,^13C3H6O3,media-hilic-18,0.267096013,1.04E+07,0,0,3786295.714,,,
L-Glutamic acid,C5H9NO4,media-hilic-34,0.710210731,3911181.586,0,13339.25086,0,0,9599738.192,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-QC07,0.860955558,1759.997873,0,0,1258.043561,31606.70736,27114.91267,
Glucose CL,C6H13O6Cl,media-hilic-15,0.849118052,3726745.477,0,0,0,16033.24701,117772.2064,2.10E+07
L-Glutamine,C5H10N2O3,media-hilic-01,0.017686512,2.06E+07,1654774.292,158963.6135,1634.691757,167.3809218,197.2602159,
Glucose CL,C6H13O6Cl,media-hilic-02,0.004330472,2.42E+07,531651.9,0,0,20567.3962,1568.066756,3471.895457
Glucose d7 CL,C6H6D7O6Cl,media-hilic-21,0.004089639,1313005.758,0,0,0,0,4014.00362,2049.514296
Lactic acid,C3H6O3,media-hilic-28,0.050933259,1.10E+07,0,25993.60536,575854.0312,,,
Glucose CL,C6H13O6Cl,media-hilic-05,0.841815212,3898445.606,0,0,0,8570.338059,256918.3777,2.08E+07
Lactic acid,C3H6O3,media-hilic-35,0.272923452,1.24E+07,14173.9277,0,4669711.358,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-29,0,0,0,0,0,0,0,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-QC03,0.012905234,1606989.709,0,0,1111.742116,111.2749019,0,20387.41134
L-Glutamine,C5H10N2O3,media-hilic-QC06,0.023519865,1.99E+07,2269819.002,178571.8341,0,185.4497171,190.1818714,
L-Glutamine,C5H10N2O3,media-hilic-21,0.020050754,2.02E+07,1909736.842,160286.9621,1473.774353,48.16937535,245.1302137,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-17,0.854546801,344.1873781,0,0,2981.504432,0,7239.831395,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-11,0.994793132,2148.049151,4558.578959,0,989497.1932,,,
Lactic acid C3,^13C3H6O3,media-hilic-QC04,0,0,0,0,0,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-32,0,0,0,0,0,0,0,
L-Glutamine,C5H10N2O3,media-hilic-11,0.018234396,1.94E+07,1649263.047,141034.4027,844.1800912,56.8818018,128.5234069,
Alanine,C3H7NO2,media-hilic-14,0.032645022,475973.5701,0,7.923216829,16057.33611,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-20,0.871747187,655.0122415,194.8707507,0,2699.501049,15870.87305,20071.14853,
Alanine 15N,C3H7^15NO2,media-hilic-13,0,0,0,0,0,,,
Alanine 15N,C3H7^15NO2,media-hilic-QC10,0,0,0,0,0,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-14,0.016934558,1338492.367,0,0,1495.939783,23.42596023,0,22306.67322
Glucose CL,C6H13O6Cl,media-hilic-20,0.003189225,2.29E+07,319035.4313,0,0,21439.66237,1561.348191,5509.79874
Lactic acid,C3H6O3,media-hilic-27,0.028349197,7731072.194,0,5674.097631,221836.7025,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-09,0.88525959,1133.084943,0,0,226.7421068,18693.35285,23196.20692,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-12,0.882682456,667.6558481,21.84524144,0,1778.964543,20016.18792,23543.88806,
Lactic acid,C3H6O3,media-hilic-17,0.234321744,8080761.024,0,0,2472968.254,,,
Lactic acid,C3H6O3,media-hilic-24,0.021676207,1.38E+07,10544.04743,0,303502.6102,,,
Glucose CL,C6H13O6Cl,media-hilic-27,0.867371673,2429641.034,0,0,0,20058.87692,0,1.59E+07
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-QC05,0.859290459,1281.126735,0,0,1066.060337,43442.86185,28093.52112,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-17,0,0,0,0,0,0,0,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-30,0.015167474,1346356.765,0,0,867.8609057,0,0,20308.0859
L-Glutamic acid,C5H9NO4,media-hilic-Blank03,0.972912031,105616.6583,0,2667.952997,0,0,3849835.29,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-QC03,0.995141461,2380.5745,5358.374396,0,1217490.413,,,
L-Glutamine,C5H10N2O3,media-hilic-QC01,0.021451545,2.05E+07,2087654.175,174730.8693,421.6783181,190.1631603,169.2478581,
Alanine 15N,C3H7^15NO2,media-hilic-Blank02,0,0,0,0,0,,,
Lactic acid C3,^13C3H6O3,media-hilic-36,0.268230265,1.33E+07,0,0,4872642.341,,,
Glucose CL,C6H13O6Cl,media-hilic-36,0.852604604,3371289.285,0,0,0,32211.25797,136853.9553,1.96E+07
L-Glutamic acid,C5H9NO4,media-hilic-QC06,0.706166844,5066366.657,0,17036.16117,0,0,1.22E+07,
Lactic acid C3,^13C3H6O3,media-hilic-09,0.029425345,1.47E+07,28739.45049,0,437381.6451,,,
Lactic acid C3,^13C3H6O3,media-hilic-07,0.030481936,1.51E+07,0,0,474228.8531,,,
L-Glutamine,C5H10N2O3,media-hilic-23,0.02065967,1.98E+07,1947043.616,157914.0383,867.7026373,131.8191895,147.2441498,
Lactic acid C3,^13C3H6O3,media-hilic-14,0.101432563,1.54E+07,0,0,1742771.975,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-08,0.898926013,851.7777547,0,0,2519.482977,2197.246404,17177.40696,
Alanine,C3H7NO2,media-hilic-QC01,0.02091962,570390.6566,0,0,12187.30967,,,
L-Glutamine,C5H10N2O3,media-hilic-QC08,0.02221517,1.99E+07,2116426.724,171665.3462,795.1929669,26.97068141,129.4857404,
Glucose CL,C6H13O6Cl,media-hilic-04,0.831083198,4228409.548,0,0,0,0,378204.3614,2.08E+07
Glucose CL,C6H13O6Cl,media-hilic-17,0.865839587,2429791.465,0,0,0,24844.70606,0,1.57E+07
Glucose CL,C6H13O6Cl,media-hilic-21,0.003853721,2.46E+07,448229.1355,0,0,22818.31825,1547.640463,5513.203743
Alanine,C3H7NO2,media-hilic-26,0.022282564,191523.0642,124.3024614,97.90106555,4260.816622,,,
L-Glutamic acid,C5H9NO4,media-hilic-27,0.74552984,1196215.774,0,4316.639011,0,0,3510455.142,
Lactic acid C3,^13C3H6O3,media-hilic-28,0.049568764,1.10E+07,0,0,575401.9872,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-11,0.873622482,656.2236119,0,0,2639.870097,18863.54387,21241.1231,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-09,0.995032497,2113.389013,4695.055241,0,1048737.171,,,
Glucose CL,C6H13O6Cl,media-hilic-QC06,0.657125308,1.03E+07,0,0,0,15616.01994,76447.06693,1.97E+07
Glucose CL,C6H13O6Cl,media-hilic-QC10,0.689694494,8764065.043,0,0,0,18716.92392,0,1.95E+07
L-Glutamine,C5H10N2O3,media-hilic-28,0.011850307,1.77E+07,895726.0795,102164.8181,2077.952536,171.9539905,151.2635554,
Lactic acid C3,^13C3H6O3,media-hilic-05,0.022564878,1.50E+07,36895.26637,0,335519.2206,,,
L-Glutamic acid,C5H9NO4,media-hilic-33,0.722592629,4463818.286,0,14154.61387,0,0,1.16E+07,
Alanine,C3H7NO2,media-hilic-04,0.016432779,442926.4678,0,0,7400.11705,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-24,0,0,0,0,0,0,0,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-12,0.994972019,2236.454625,5141.598803,0,1119155.003,,,
Alanine,C3H7NO2,media-hilic-19,0.010414014,341219.2205,0,122.2666068,3509.774779,,,
L-Glutamine,C5H10N2O3,media-hilic-12,0.016887861,2.04E+07,1560345.523,150571.6148,2299.938662,0,186.1993807,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-26,0.888416463,956.1761663,0,0,1696.691705,0,11998.5125,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-33,0.016040725,1549608.667,0,0,1013.498446,0,0,24763.58013
Alanine 13C15N,^13C3H7^15NO2,media-hilic-17,0.991452952,1633.77169,2003.092147,0,343754.0041,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-QC02,0.863861155,823.200425,0,0,1640.102249,40266.92646,27291.12764,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-24,0.995259605,2237.144938,3685.334899,0,984297.7509,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-03,0.992928422,2393.873675,4666.058805,0,771349.0522,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-24,0.903464186,492.1325378,0,0,1559.331123,10883.12768,21171.82366,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-27,0,0,0,0,0,0,0,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-10,0.877994804,1073.369753,0,0,1989.626842,16561.19921,22844.98181,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-07,0,0,0,0,0,0,0,
L-Glutamic acid,C5H9NO4,media-hilic-QC05,0.716990154,5177288.773,0,17693.34295,0,0,1.31E+07,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-QC08,0.013824592,1430152.372,0,0,824.1714825,0.8696365,0,19641.55024
L-Glutamic acid,C5H9NO4,media-hilic-35,0.695941822,2831012.247,0,10000.92616,0,0,6489480.171,
Alanine,C3H7NO2,media-hilic-35,0.020066327,342370.6213,0,69.84075013,6964.718057,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-QC09,0.014485533,1447629.448,0,0,1005.153772,0,0,20782.71594
Glucose d7 CL,C6H6D7O6Cl,media-hilic-12,0.015474736,1549865.538,0,0,882.2644449,0,0,23926.53694
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-07,0.867430118,1668.360816,0,0,787.8217516,18698.52913,22016.44646,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-28,0.992945239,1734.799374,3213.389429,0,544618.1422,,,
Lactic acid C3,^13C3H6O3,media-hilic-25,0.032414547,1.46E+07,0,0,490352.3012,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-16,0.015200456,1491085.382,0,0,751.390655,94.02513838,0,22582.92099
Glucose CL,C6H13O6Cl,media-hilic-18,0.858750703,2871495.021,0,0,0,19468.78732,0,1.75E+07
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-34,0,0,0,0,0,0,0,
Lactic acid,C3H6O3,media-hilic-Blank01,0.174678429,131951.9017,256.8164667,226.3792248,27743.16174,,,
Glucose CL,C6H13O6Cl,media-hilic-29,0.828011606,4272034.377,0,0,0,246.9985891,428134.3168,2.06E+07
Alanine,C3H7NO2,media-hilic-02,0.008768279,653695.3391,0,0,5782.485878,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-20,0.005501378,1095065.114,0,0,312.7679907,0,4951.404349,1780.568539
Glucose d7 CL,C6H6D7O6Cl,media-hilic-09,0.015525889,1303732.953,0,0,778.2357898,218.3811002,0,20033.41735
Lactic acid,C3H6O3,media-hilic-05,0.024199023,1.50E+07,36489.72419,39354.54991,335550.0545,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-QC04,0,0,0,0,0,0,0,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-02,0,0,0,0,0,0,0,
Glucose CL,C6H13O6Cl,media-hilic-Blank02,0.099285335,162547.8139,0,0,45.1899709,10365.73607,1087.49591,10481.57294
Lactic acid,C3H6O3,media-hilic-QC06,0.112835823,1.50E+07,103617.7987,34740.8523,1860159.87,,,
Glucose CL,C6H13O6Cl,media-hilic-14,0.84497787,3842851.342,0,0,0,14222.09699,148421.9607,2.10E+07
Lactic acid,C3H6O3,media-hilic-QC05,0.116067418,1.49E+07,108861.004,34342.49594,1907531.497,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-Blank02,0.891257957,288.8330209,138.9950721,0,2092.80629,0,8856.304652,
Alanine 15N,C3H7^15NO2,media-hilic-23,0,0,0,0,0,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-18,0,0,0,0,0,0,0,
Glucose CL,C6H13O6Cl,media-hilic-12,0.831219625,4190172.418,0,0,0,0,446312.2014,2.06E+07
Lactic acid C3,^13C3H6O3,media-hilic-12,0.050025448,1.47E+07,0,0,776675.7354,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-QC04,0.013701511,1516459.465,0,0,524.8715035,95.74857181,0,20744.24878
Glucose CL,C6H13O6Cl,media-hilic-33,0.827895618,4287780.079,0,0,0,2834.120098,404489.0862,2.06E+07
Alanine 13C15N,^13C3H7^15NO2,media-hilic-QC10,0.993969133,2557.034767,5207.989258,0,991929.9586,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-01,0.992552861,2574.856981,5177.842691,0,801518.0901,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-03,0.869769509,872.9381882,0,0,2374.343182,19105.90454,20984.25627,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-13,0.865455651,1577.510467,0,0,2032.707397,21696.55119,24713.19619,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-15,0,0,0,0,0,0,0,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-QC03,0.860996336,1515.55544,0,0,1496.110325,36062.05842,28020.99123,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-01,0.874429578,643.9009904,100.4854361,0,2134.415031,21915.87181,22678.52629,
L-Glutamine,C5H10N2O3,media-hilic-24,0.018731668,1.95E+07,1697259.951,150127.372,1442.805858,9.528064686,203.2137203,
Glucose CL,C6H13O6Cl,media-hilic-26,0.858040895,2997085.893,0,0,0,15978.67433,96971.52796,1.82E+07
Alanine 13C15N,^13C3H7^15NO2,media-hilic-QC04,0.994312971,2758.201063,6479.689981,0,1235347.762,,,
Alanine,C3H7NO2,media-hilic-QC09,0.020861619,494911.3975,0,0,10544.63125,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-03,0.005111071,1143365.344,0,0,1033.145875,0,4570.294353,1555.259076
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-QC07,0,0,0,0,0,0,0,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-16,0.994865188,2760.896817,4346.011322,0,1094829.782,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-QC03,0,0,0,0,0,0,0,
L-Glutamic acid,C5H9NO4,media-hilic-Blank02,0.975368494,96041.93216,0,2237.13869,0,0,3855365.252,
Alanine 15N,C3H7^15NO2,media-hilic-05,0,0,0,0,0,,,
Lactic acid C3,^13C3H6O3,media-hilic-10,0.054359717,1.46E+07,0,0,841839.0608,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-20,0,0,0,0,0,0,0,
L-Glutamine,C5H10N2O3,media-hilic-32,0.023104575,2.01E+07,2255094.016,172423.557,212.4227055,205.1063935,134.334539,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-02,0.994287198,2754.01598,4033.521137,0,945990.0351,,,
Glucose CL,C6H13O6Cl,media-hilic-06,0.838647649,3950217.597,0,0,0,785.3668539,388380.828,2.05E+07
L-Glutamine,C5H10N2O3,media-hilic-Blank03,0.08105455,40478.90989,255.8122738,8368.633144,331.5883907,273.961472,231.12906,
Glucose CL,C6H13O6Cl,media-hilic-QC04,0.666081282,1.03E+07,0,0,0,9688.332582,196126.7541,2.05E+07
Alanine 13C15N,^13C3H7^15NO2,media-hilic-QC07,0.995628964,2298.786965,4054.620407,0,1137967.447,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-Blank02,0.002487432,4204547.165,0,0,0,0,9888.889133,2247.974591
L-Glutamine,C5H10N2O3,media-hilic-QC10,0.019682261,1.99E+07,1833625.5,157476.9246,1344.473902,61.79351082,174.2254214,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-Blank01,0.865968996,568.7683636,77.04317738,0,2616.031419,0,9248.810718,
Alanine,C3H7NO2,media-hilic-03,0.008748374,543934.3943,0,0,4800.538449,,,
Alanine,C3H7NO2,media-hilic-24,0.01563318,401656.3066,0,0,6378.887585,,,
Lactic acid C3,^13C3H6O3,media-hilic-Blank01,0.173756089,131805.1562,0,0,27718.14496,,,
L-Glutamic acid,C5H9NO4,media-hilic-25,0.739236502,3729505.635,0,11597.90815,0,0,1.06E+07,
L-Glutamic acid,C5H9NO4,media-hilic-QC09,0.713188423,4511593.958,0,15413.0001,0,0,1.12E+07,
Alanine 15N,C3H7^15NO2,media-hilic-QC07,0,0,0,0,0,,,
L-Glutamine,C5H10N2O3,media-hilic-15,0.018710686,2.00E+07,1738951.88,150188.2335,2098.514609,83.36454002,151.1796312,
Alanine 15N,C3H7^15NO2,media-hilic-21,0,0,0,0,0,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-QC06,0.013514667,1560561.26,0,0,701.0454019,231.3961709,0,20880.47268
Alanine 15N,C3H7^15NO2,media-hilic-QC06,0,0,0,0,0,,,
Alanine 15N,C3H7^15NO2,media-hilic-QC08,0,0,0,0,0,,,
Lactic acid C3,^13C3H6O3,media-hilic-Blank02,0.287255989,147707.5489,173.0006249,0,59519.13443,,,
Lactic acid,C3H6O3,media-hilic-QC07,0.109127457,1.50E+07,68934.37029,36225.09331,1795432.071,,,
Lactic acid C3,^13C3H6O3,media-hilic-08,0.026072251,1.27E+07,0,0,341250.3562,,,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-36,0.994173469,2164.931635,3538.838315,0,770771.4337,,,
L-Glutamic acid,C5H9NO4,media-hilic-Blank01,0.989601897,40068.28503,607.4113826,1015.98834,0,0,3917088.685,
Alanine,C3H7NO2,media-hilic-QC07,0.019737547,562834.1329,0,0,11332.64351,,,
Lactic acid,C3H6O3,media-hilic-10,0.056480843,1.47E+07,4323.879931,52714.36398,842281.8165,,,
L-Glutamine,C5H10N2O3,media-hilic-QC07,0.023004708,1.98E+07,2208061.299,171490.433,182.8723923,56.12716771,213.3845528,
Alanine 15N,C3H7^15NO2,media-hilic-34,0,0,0,0,0,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-QC02,0.013768321,1559717.365,0,0,1532.375562,120.6688119,0,20939.11121
Lactic acid,C3H6O3,media-hilic-29,0.060594396,1.50E+07,16906.77749,50737.82592,931472.914,,,
Alanine,C3H7NO2,media-hilic-25,0.018316317,380506.5315,0,47.83189857,7067.924792,,,
Alanine 15N,C3H7^15NO2,media-hilic-QC04,0,0,0,0,0,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-03,0,0,0,0,0,0,0,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-QC09,0,0,0,0,0,0,0,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-29,0.994587667,2349.192526,5701.652638,0,1128297.316,,,
Lactic acid C3,^13C3H6O3,media-hilic-QC09,0.100216596,1.54E+07,0,0,1709978.121,,,
Alanine 15N,C3H7^15NO2,media-hilic-QC03,0,0,0,0,0,,,
Glucose CL,C6H13O6Cl,media-hilic-QC08,0.675269996,9739860.742,0,0,0,15305.21513,7344.543172,2.03E+07
Glucose d7 CL,C6H6D7O6Cl,media-hilic-QC01,0.012778386,1614046.175,0,0,1138.740775,118.5891871,0,20251.32151
Alanine,C3H7NO2,media-hilic-12,0.023327939,420456.442,0,0,10042.65667,,,
Alanine,C3H7NO2,media-hilic-31,0.013482033,476426.1028,0,149.0759966,6412.26873,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-09,0,0,0,0,0,0,0,
Glucose CL,C6H13O6Cl,media-hilic-16,0.846988095,3827820.417,0,0,0,11952.24835,183118.6599,2.12E+07
Alanine,C3H7NO2,media-hilic-27,0.023776701,156785.8694,98.34113454,188.2348992,3663.500274,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-05,0.864106817,1822.515734,0,0,680.6381363,23826.19853,24151.55133,
L-Glutamine,C5H10N2O3,media-hilic-17,0.006201879,1.53E+07,333856.4558,72337.08144,2371.845027,406.0773244,239.7411301,
Lactic acid,C3H6O3,media-hilic-QC09,0.101757449,1.54E+07,29469.40705,35238.77765,1711421.543,,,
Glucose CL,C6H13O6Cl,media-hilic-35,0.863847495,2820257.71,0,0,0,21312.52664,0,1.79E+07
Glucose CL,C6H13O6Cl,media-hilic-11,0.838812376,3835939.316,0,0,0,10335.41654,224145.4328,2.00E+07
Glucose CL,C6H13O6Cl,media-hilic-23,0.843627305,3853581.392,0,0,0,8681.047389,247350.4749,2.08E+07
Alanine,C3H7NO2,media-hilic-30,0.016594749,427115.7018,0,0,7207.484439,,,
L-Glutamine,C5H10N2O3,media-hilic-08,0.01273674,1.97E+07,1077834.38,123178.1014,2795.386998,89.4966164,198.2200978,
L-Glutamic acid,C5H9NO4,media-hilic-24,0.722723682,3544149.221,0,10898.66877,0,0,9250547.79,
Glucose CL,C6H13O6Cl,media-hilic-QC05,0.646432204,1.07E+07,0,0,0,10378.30467,187806.9714,1.95E+07
L-Glutamic acid,C5H9NO4,media-hilic-17,0.720160377,1035708.251,0,12878.73015,0,0,2680104.036,
Lactic acid C3,^13C3H6O3,media-hilic-35,0.272920027,1.24E+07,0,0,4665557.289,,,
Lactic acid C3,^13C3H6O3,media-hilic-26,0.025953334,1.00E+07,0,0,266912.3431,,,
Lactic acid,C3H6O3,media-hilic-09,0.029615503,1.47E+07,29112.8612,3531.407866,437922.6591,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-01,0.005606083,1203898.734,0,0,0,0,5863.184617,1906.72727
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-15,0.884185934,1033.912251,0,0,0,20594.03383,22863.35955,
Lactic acid C3,^13C3H6O3,media-hilic-20,0.014451109,1.41E+07,0,0,206218.5588,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-35,0.014141836,1000547.581,0,0,461.817021,0,505.6280953,13704.80687
L-Glutamine,C5H10N2O3,media-hilic-QC05,0.022293047,2.03E+07,2169618.149,176779.2439,188.8783482,28.0787211,159.2566244,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-33,0.869581301,1402.95388,0,0,686.6094614,25653.52962,24460.33845,
Glucose CL,C6H13O6Cl,media-hilic-28,0.860248746,2753538.637,0,0,0,20116.5947,0,1.70E+07
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-04,0,0,0,0,0,0,0,
Alanine 13C15N,^13C3H7^15NO2,media-hilic-QC06,0.994952329,2476.374384,5130.229094,0,1160561.324,,,
Glucose CL,C6H13O6Cl,media-hilic-24,0.854694644,3466672.731,0,0,0,13851.41883,161372.0624,2.04E+07
Lactic acid C3,^13C3H6O3,media-hilic-16,0.272180731,1.53E+07,0,0,5725503.958,,,
Lactic acid,C3H6O3,media-hilic-QC02,0.107689277,1.56E+07,52729.49044,38930.14729,1843744.323,,,
L-Glutamine,C5H10N2O3,media-hilic-QC04,0.020211398,2.05E+07,1935826.735,172645.5434,885.8283547,263.9840697,177.5851719,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-QC07,0.014127621,1633338.882,0,0,248.6001091,0,56.76762319,23236.17219
Lactic acid C3,^13C3H6O3,media-hilic-QC08,0.107069886,1.49E+07,0,0,1785262.111,,,
Alanine,C3H7NO2,media-hilic-08,0.023349656,266672.3224,147.6432487,219.6182003,6184.051301,,,
Lactic acid C3,^13C3H6O3,media-hilic-QC02,0.105784266,1.56E+07,0,0,1842224.709,,,
Alanine 15N,C3H7^15NO2,media-hilic-20,0,0,0,0,0,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-11,0,0,0,0,0,0,0,
Lactic acid C3,^13C3H6O3,media-hilic-13,0.105224185,1.60E+07,0,0,1883045.909,,,
Alanine 15N,C3H7^15NO2,media-hilic-QC02,0,0,0,0,0,,,
Alanine,C3H7NO2,media-hilic-20,0.009661715,480553.8258,0,0,4688.27086,,,
L-Glutamic acid 15N,C5H9^14NO4,media-hilic-23,0,0,0,0,0,0,0,
Lactic acid,C3H6O3,media-hilic-21,0.017430113,1.50E+07,50680.70212,0,249981.6833,,,
Alanine,C3H7NO2,media-hilic-11,0.022473004,407528.9663,0,0,9368.948704,,,
L-Glutamic acid 13C15N work,^13C5H9^15NO4,media-hilic-22,0.887427048,702.4783037,0,0,1189.022753,15885.40092,20910.6115,
Alanine 15N,C3H7^15NO2,media-hilic-36,0,0,0,0,0,,,
Glucose d7 CL,C6H6D7O6Cl,media-hilic-28,0.015568857,841840.3729,0,0,860.06569,49.56864091,225.2090273,12670.67612
Alanine,C3H7NO2,media-hilic-29,0.015311482,459322.7332,0,8.463799169,7136.671923,,,
L-Glutamine,C5H10N2O3,media-hilic-30,0.017096405,2.04E+07,1583079.832,149778.8428,1576.617231,55.42179146,156.5378709,
Glucose CL,C6H13O6Cl,media-hilic-31,0.85049406,3535747.855,0,0,0,19813.98273,71938.55326,2.01E+07
L-Glutamic acid,C5H9NO4,media-hilic-31,0.677518737,3924717.055,0,12099.47787,0,0,8256067.813,
